1;2;3;4;5;6;7;8;9;10;11;12;13;14
1;Альфа;70; Ж ;28.02.1967;;;28.08.2002;16.35;16.35;16.35;189000.00;239426.00;Руководители
2;Альфа;72; Ж ;05.07.1981;;;09.09.2002;16.31;16.31;16.31;124000.00;68347.00;Руководители
3;Альфа;77; Ж ;20.04.1968;;;04.09.2002;16.33;16.33;16.33;89000.00;135986.00;Специалисты и служащие
4;Альфа;98; М ;04.10.1970;;;09.09.2002;16.32;16.32;16.32;142000.00;170706.00;Руководители
5;Альфа;114; Ж ;19.11.1959;;;07.10.2002;16.24;17.83;17.83;128300.00;168023.00;Специалисты и служащие
6;Альфа;124; Ж ;17.08.1964;;;05.10.2015;13.51;17.88;17.88;95000.00;90103.00;Специалисты и служащие
7;Альфа;125; Ж ;25.10.1977;;;09.10.2002;16.24;21.26;21.26;290400.00;477896.00;Руководители
8;Альфа;137; Ж ;16.01.1963;;;02.10.2002;16.25;19.07;19.07;95000.00;129911.00;Специалисты и служащие
9;Альфа;149;Ж;01.12.1977;;;04.10.2002;16.25;18.53;18.53;227000.00;439416.00;Руководители
10;Альфа;152;Ж;15.07.1960;;;01.10.2002;16.25;16.25;16.25;174000.00;285400.00;Руководители
11;Альфа;189;М;26.01.1970;;;10.11.2002;16.15;16.15;16.15;215500.00;275342.00;Руководители
12;Альфа;191;Ж;30.09.1965;;;11.11.2002;16.15;16.15;16.15;85000.00;102217.00;Специалисты и служащие
13;Альфа;196;М;27.05.1968;;;30.06.2014;10.14;21.48;21.48;99000.00;113260.00;Специалисты и служащие
14;Альфа;197;Ж;03.06.1970;;;21.11.2002;16.12;16.12;16.12;179000.00;247741.00;Руководители
15;Альфа;199;Ж;09.07.1980;;;04.12.2002;16.09;16.09;16.09;0.00;100703.00;Специалисты и служащие
16;Альфа;200;Ж;03.07.1969;;;01.11.2002;16.18;16.18;16.18;89000.00;149164.00;Специалисты и служащие
17;Альфа;205;М;03.04.1977;;;20.12.2002;16.04;16.04;16.04;160000.00;246256.00;Руководители
18;Альфа;208;М;01.09.1939;;;23.12.2002;16.03;30.1;30.1;75500.00;94823.00;Специалисты и служащие
19;Альфа;215;Ж;03.06.1960;;;13.01.2003;15.99;15.99;15.99;327000.00;423163.00;Руководители
20;Альфа;225;Ж;21.04.1975;;;27.01.2003;15.94;15.94;15.94;60000.00;78164.00;Специалисты и служащие
21;Альфа;242;Ж;12.02.1980;;;07.02.2003;15.91;15.91;15.91;83000.00;118286.00;Специалисты и служащие
22;Альфа;249;Ж;02.06.1975;;;29.01.2003;15.93;15.93;15.93;0.00;120016.00;Специалисты и служащие
23;Альфа;252;М;21.09.1976;;;31.01.2003;15.93;15.93;15.93;189000.00;221087.00;Руководители
24;Альфа;253;М;26.01.1952;;;12.02.2003;15.89;40.24;40.24;115000.00;180411.00;Специалисты и служащие
25;Альфа;254;М;27.07.1971;;;10.02.2003;15.9;16.46;16.46;87000.00;61091.00;Специалисты и служащие
26;Альфа;258;М;02.01.1967;;;03.02.2003;15.91;15.91;15.91;82000.00;106331.00;Специалисты и служащие
27;Альфа;284;Ж;01.01.1967;;;03.02.2003;15.92;15.92;15.92;78000.00;135906.00;Специалисты и служащие
28;Альфа;285;Ж;23.06.1963;;;25.02.2003;15.85;38.19;38.19;310000.00;562988.00;Руководители
